,지점명,년,5월평균기온,5월합강수량(mm),5월합계일조시간,6월평균기온,6월합강수량(mm),6월합계일조시간,7월평균기온,7월합강수량(mm),7월합계일조시간,8월평균기온,8월합강수량(mm),8월합계일조시간,단위면적당 생산량
0,속초,1996,14.2,20.2,151.1,18.0,356.5,107.6,22.0,189.4,128.3,23.0,200.0,135.8,438.0
1,속초,1997,16.2,355.6,135.0,19.8,113.0,110.7,24.2,73.3,218.3,24.7,60.3,170.5,451.0
2,속초,1998,17.0,67.2,255.1,18.4,199.0,118.8,21.6,550.6,50.1,23.1,376.5,125.1,377.0
3,속초,1999,17.0,167.6,237.5,20.8,78.8,187.0,23.1,152.1,127.4,23.3,515.2,128.4,450.0
4,속초,2000,14.3,71.0,156.8,19.2,175.7,202.5,24.8,109.2,198.3,24.0,440.3,139.3,460.0
5,속초,2001,17.2,7.2,209.3,20.0,126.6,132.7,23.4,233.3,169.2,22.4,56.9,185.9,479.0
6,속초,2002,15.6,78.2,214.6,19.5,66.5,213.2,21.9,301.4,105.2,22.7,531.2,104.0,282.0
7,속초,2003,14.8,111.5,174.3,20.3,132.1,151.3,20.8,258.0,90.1,22.5,349.2,120.0,409.0
8,속초,2004,16.7,46.7,204.7,20.8,99.7,191.8,23.9,554.0,128.8,23.1,460.3,151.4,435.0
9,속초,2005,14.4,122.7,219.6,20.6,151.2,174.2,24.0,185.2,166.4,25.0,246.9,168.0,460.0
10,속초,2006,14.4,141.7,154.9,18.4,129.0,102.4,21.0,545.0,46.6,25.2,109.3,171.0,433.85692
11,속초,2007,17.1,102.1,199.3,20.3,52.3,209.3,22.1,212.8,88.2,24.9,206.8,139.1,424.0811
12,속초,2008,16.8,70.0,205.1,18.7,91.3,174.1,25.3,361.6,154.0,23.4,343.1,188.7,441.66296
13,속초,2009,17.7,50.5,226.5,20.2,181.1,169.2,21.7,405.2,133.9,23.1,247.3,148.2,519.90069
14,속초,2010,16.0,149.5,206.6,20.1,18.0,245.9,25.0,92.8,132.8,25.7,274.4,112.4,464.82325
15,속초,2011,14.3,65.3,133.0,20.2,341.5,199.1,22.3,412.1,77.4,24.8,140.3,136.6,473.09866
16,속초,2012,16.4,46.1,172.7,19.8,76.2,126.2,23.9,244.3,153.5,24.4,212.5,82.1,417.13169
17,속초,2013,16.9,80.1,243.9,20.4,32.0,152.1,25.6,292.7,161.7,27.4,174.6,232.5,484.76558
18,속초,2014,18.1,25.0,275.9,19.9,41.9,149.9,25.1,126.9,251.3,23.5,296.1,160.2,499.7273
19,속초,2015,17.8,9.2,298.6,19.5,127.7,191.0,22.7,163.1,171.2,24.2,198.6,193.5,521.11816
20,속초,2016,17.2,35.7,261.1,20.6,62.2,175.3,22.9,477.8,119.2,25.5,186.9,220.7,500.61114
21,속초,2017,18.7,25.2,272.3,19.8,69.7,204.7,25.6,270.3,165.4,23.7,424.9,107.2,466.12251
