id,path,label1,label2,len
RUNQPNJF,./train/RUNQPNJF.ogg,real,real,2393.0
JFAWUOGJ,./train/JFAWUOGJ.ogg,fake,fake,1264.0
RDKEKEVX,./train/RDKEKEVX.ogg,real,real,6144.0
QYHJDOFK,./train/QYHJDOFK.ogg,real,real,3004.0
RSPQNHAO,./too_short/RSPQNHAO.ogg,real,real,816.0
WJRTCPVX,./train/WJRTCPVX.ogg,fake,fake,1463.0
ICDBLWYI,./validate/ICDBLWYI.ogg,real,real,5086.0
ZWPWYAIZ,./train/ZWPWYAIZ.ogg,fake,fake,1788.0
QGNUXBKY,./too_short/QGNUXBKY.ogg,fake,fake,708.0
FRUWZOVC,./train/FRUWZOVC.ogg,fake,fake,1438.0
ZLTALTYO,./train/ZLTALTYO.ogg,fake,fake,1829.0
QFUNNXQT,./train/QFUNNXQT.ogg,fake,fake,2428.0
NJOYOMQV,./train/NJOYOMQV.ogg,fake,fake,1139.0
VCOXBYYG,./train/VCOXBYYG.ogg,real,real,4180.0
LYTCTGRJ,./train/LYTCTGRJ.ogg,fake,fake,1860.0
CEQFAVNQ,./train/CEQFAVNQ.ogg,real,real,5436.0
RBOJKPRL,./train/RBOJKPRL.ogg,real,real,3332.0
IDWRJSQN,./train/IDWRJSQN.ogg,fake,fake,1450.0
JCSXTNWR,./validate/JCSXTNWR.ogg,fake,fake,2296.0
JCPMWQOS,./too_short/JCPMWQOS.ogg,fake,fake,857.0
RKQUSJGN,./train/RKQUSJGN.ogg,fake,fake,1741.0
WDPCFDWX,./validate/WDPCFDWX.ogg,fake,fake,1087.0
KWXWMDQK,./train/KWXWMDQK.ogg,real,real,4542.0
RIVPTIUG,./validate/RIVPTIUG.ogg,real,real,4944.0
AWEKWKVM,./train/AWEKWKVM.ogg,fake,fake,2295.0
VXRFNWTC,./validate/VXRFNWTC.ogg,fake,fake,1672.0
EMXMVHHN,./too_short/EMXMVHHN.ogg,fake,fake,764.0
HHXDEAWG,./train/HHXDEAWG.ogg,real,real,9141.0
VEKUNVOL,./train/VEKUNVOL.ogg,real,real,3784.0
DUGQFOCW,./train/DUGQFOCW.ogg,real,real,8547.0
IPTLQVGU,./validate/IPTLQVGU.ogg,real,real,4788.0
CNHKZJVI,./train/CNHKZJVI.ogg,real,real,1420.0
GFGAWROI,./validate/GFGAWROI.ogg,real,real,2968.0
RKCWJJIM,./train/RKCWJJIM.ogg,fake,fake,1890.0
WXTDXJYB,./train/WXTDXJYB.ogg,real,real,5741.0
OLKZLSQZ,./validate/OLKZLSQZ.ogg,real,real,6084.0
OTWXFNSO,./train/OTWXFNSO.ogg,fake,fake,1576.0
LRPCTTTR,./validate/LRPCTTTR.ogg,fake,fake,1010.0
CQPEHFML,./train/CQPEHFML.ogg,fake,fake,2712.0
SZQZUAYE,./train/SZQZUAYE.ogg,real,real,3496.0
NAPYTZSO,./train/NAPYTZSO.ogg,real,real,7280.0
MDEQEPFV,./train/MDEQEPFV.ogg,fake,fake,3084.0
AMOVMKHW,./train/AMOVMKHW.ogg,fake,fake,1008.0
JFLMKRAU,./train/JFLMKRAU.ogg,fake,fake,2340.0
KDLMMZNV,./train/KDLMMZNV.ogg,real,real,3976.0
